ingredient,predicate,disease,pmid,year,pubmed_url,title
propyl gallate,risk_factor_for,lung cancer,33865947,2021,https://pubmed.ncbi.nlm.nih.gov/33865947/,enhanced cell death effects of map kinase inhibitors in propyl gallate-treated lung cancer cells are related to increased ros levels and gsh depletion.
propyl gallate,risk_factor_for,lung neoplasms,33865947,2021,https://pubmed.ncbi.nlm.nih.gov/33865947/,enhanced cell death effects of map kinase inhibitors in propyl gallate-treated lung cancer cells are related to increased ros levels and gsh depletion.
propyl gallate,risk_factor_for,breast cancer,29460325,2018,https://pubmed.ncbi.nlm.nih.gov/29460325/,"estrogenic and anti-estrogenic activity of butylparaben, butylated hydroxyanisole, butylated hydroxytoluene and propyl gallate and their binary mixtures on two estrogen responsive cell lines (t47d-kbluc, mcf-7)."
arachidonic acid,risk_factor_for,alzheimer,40907839,2025,https://pubmed.ncbi.nlm.nih.gov/40907839/,platelet cox and lox enzymes orchestrate amyloid-β secretion via rhoa signaling: implications for neurodegenerative diseases.
arachidonic acid,risk_factor_for,alzheimer disease,40907839,2025,https://pubmed.ncbi.nlm.nih.gov/40907839/,platelet cox and lox enzymes orchestrate amyloid-β secretion via rhoa signaling: implications for neurodegenerative diseases.
arachidonic acid,risk_factor_for,copd,40915283,2025,https://pubmed.ncbi.nlm.nih.gov/40915283/,"integrated network pharmacology, metabolomics and experimental validation to reveal the pharmacological substances and mechanism of wendan decoction on chronic obstructive pulmonary disease."
arachidonic acid,risk_factor_for,chronic obstructive pulmonary disease,40915283,2025,https://pubmed.ncbi.nlm.nih.gov/40915283/,"integrated network pharmacology, metabolomics and experimental validation to reveal the pharmacological substances and mechanism of wendan decoction on chronic obstructive pulmonary disease."
arachidonic acid,risk_factor_for,arthritis,40930294,2026,https://pubmed.ncbi.nlm.nih.gov/40930294/,metabolomics reveals glycerophospholipid metabolism as the action mechanism of jin-tian-ge capsules in ameliorating inflammatory pain.
arachidonic acid,risk_factor_for,osteoarthritis,40930294,2026,https://pubmed.ncbi.nlm.nih.gov/40930294/,metabolomics reveals glycerophospholipid metabolism as the action mechanism of jin-tian-ge capsules in ameliorating inflammatory pain.
arachidonic acid,risk_factor_for,osteoporosis,40930294,2026,https://pubmed.ncbi.nlm.nih.gov/40930294/,metabolomics reveals glycerophospholipid metabolism as the action mechanism of jin-tian-ge capsules in ameliorating inflammatory pain.
arachidonic acid,risk_factor_for,rheumatoid arthritis,40930294,2026,https://pubmed.ncbi.nlm.nih.gov/40930294/,metabolomics reveals glycerophospholipid metabolism as the action mechanism of jin-tian-ge capsules in ameliorating inflammatory pain.
arachidonic acid,risk_factor_for,diabetes mellitus,40948440,2025,https://pubmed.ncbi.nlm.nih.gov/40948440/,mast cell immunometabolism in type 2 diabetes and alzheimer's disease.
arachidonic acid,risk_factor_for,type 2,40948440,2025,https://pubmed.ncbi.nlm.nih.gov/40948440/,mast cell immunometabolism in type 2 diabetes and alzheimer's disease.
arachidonic acid,risk_factor_for,alzheimer,40948440,2025,https://pubmed.ncbi.nlm.nih.gov/40948440/,mast cell immunometabolism in type 2 diabetes and alzheimer's disease.
arachidonic acid,risk_factor_for,diabetes,40948440,2025,https://pubmed.ncbi.nlm.nih.gov/40948440/,mast cell immunometabolism in type 2 diabetes and alzheimer's disease.
arachidonic acid,risk_factor_for,type 2 diabetes,40948440,2025,https://pubmed.ncbi.nlm.nih.gov/40948440/,mast cell immunometabolism in type 2 diabetes and alzheimer's disease.
arachidonic acid,risk_factor_for,insulin resistance,40948440,2025,https://pubmed.ncbi.nlm.nih.gov/40948440/,mast cell immunometabolism in type 2 diabetes and alzheimer's disease.
arachidonic acid,risk_factor_for,alzheimer disease,40948440,2025,https://pubmed.ncbi.nlm.nih.gov/40948440/,mast cell immunometabolism in type 2 diabetes and alzheimer's disease.
black pepper,risk_factor_for,anemia,33771600,2021,https://pubmed.ncbi.nlm.nih.gov/33771600/,black pepper prevents anemia of inflammation by inhibiting hepcidin over-expression through bmp6-smad1/ il6-stat3 signaling pathway.
polyphenol,risk_factor_for,colorectal cancer,41323990,2025,https://pubmed.ncbi.nlm.nih.gov/41323990/,dietary polyphenols as modulators of cell signaling and inflammation in colorectal carcinogenesis.
soybean oil,risk_factor_for,obesity,39165573,2024,https://pubmed.ncbi.nlm.nih.gov/39165573/,"soybean oil-based hfd induces gut dysbiosis that leads to steatosis, hepatic inflammation and insulin resistance in mice."
soybean oil,risk_factor_for,insulin resistance,39165573,2024,https://pubmed.ncbi.nlm.nih.gov/39165573/,"soybean oil-based hfd induces gut dysbiosis that leads to steatosis, hepatic inflammation and insulin resistance in mice."
soybean oil,risk_factor_for,fatty liver,39165573,2024,https://pubmed.ncbi.nlm.nih.gov/39165573/,"soybean oil-based hfd induces gut dysbiosis that leads to steatosis, hepatic inflammation and insulin resistance in mice."
lycopene,risk_factor_for,cardiovascular diseases,40023976,2025,https://pubmed.ncbi.nlm.nih.gov/40023976/,"associations between serum micronutrients and all-cause, cancer, and cardiovascular mortality in a national representative population: mediated by inflammatory biomarkers."
lycopene,risk_factor_for,cardiovascular disease,40023976,2025,https://pubmed.ncbi.nlm.nih.gov/40023976/,"associations between serum micronutrients and all-cause, cancer, and cardiovascular mortality in a national representative population: mediated by inflammatory biomarkers."
lycopene,risk_factor_for,neoplasms,40023976,2025,https://pubmed.ncbi.nlm.nih.gov/40023976/,"associations between serum micronutrients and all-cause, cancer, and cardiovascular mortality in a national representative population: mediated by inflammatory biomarkers."
epa,risk_factor_for,liver disease,40769323,2025,https://pubmed.ncbi.nlm.nih.gov/40769323/,preventive effect of eicosapentaenoic acid on the exacerbation of concanavalin a-induced liver injury aggravated by a short-term high-fat diet.
tomato,risk_factor_for,blood pressure,37496241,2023,https://pubmed.ncbi.nlm.nih.gov/37496241/,the effects of lycopene and tomato consumption on cardiovascular risk factors in adults: a grade assessment systematic review and meta-analysis.
tomato,risk_factor_for,heart disease risk factors,37496241,2023,https://pubmed.ncbi.nlm.nih.gov/37496241/,the effects of lycopene and tomato consumption on cardiovascular risk factors in adults: a grade assessment systematic review and meta-analysis.
lycopene,risk_factor_for,obesity,41331992,2025,https://pubmed.ncbi.nlm.nih.gov/41331992/,"the role of natural products in liver cancer: focus on angiogenesis, inflammation, oxidative stress, and apoptosis."
lycopene,risk_factor_for,fatty liver,41331992,2025,https://pubmed.ncbi.nlm.nih.gov/41331992/,"the role of natural products in liver cancer: focus on angiogenesis, inflammation, oxidative stress, and apoptosis."
epa,risk_factor_for,parkinson,41238191,2025,https://pubmed.ncbi.nlm.nih.gov/41238191/,the role of fatty acids in neurodegenerative diseases: mechanistic insights and therapeutic strategies.
epa,risk_factor_for,alzheimer,41238191,2025,https://pubmed.ncbi.nlm.nih.gov/41238191/,the role of fatty acids in neurodegenerative diseases: mechanistic insights and therapeutic strategies.
epa,risk_factor_for,depression,41291772,2025,https://pubmed.ncbi.nlm.nih.gov/41291772/,omega-3 polyunsaturated fatty acids and mortality risk in depression: immune-inflammatory mediation in nhanes 1999-2018.
soybean oil,risk_factor_for,cardiovascular disease,35955518,2022,https://pubmed.ncbi.nlm.nih.gov/35955518/,differential effect of dietary supplementation with a soybean oil enriched in oleic acid versus linoleic acid on plasma lipids and atherosclerosis in ldlr-deficient mice.
caffeine,risk_factor_for,depression,41249138,2025,https://pubmed.ncbi.nlm.nih.gov/41249138/,effects of caffeine on neuroinflammation in anxiety and depression: a systematic review of rodent studies.
caffeine,risk_factor_for,anxiety,41249138,2025,https://pubmed.ncbi.nlm.nih.gov/41249138/,effects of caffeine on neuroinflammation in anxiety and depression: a systematic review of rodent studies.
black pepper,risk_factor_for,obesity,37191428,2023,https://pubmed.ncbi.nlm.nih.gov/37191428/,neuroprotective effects of black pepper and its bioactive compounds in age-related neurological disorders.
garlic,risk_factor_for,depression,40274236,2025,https://pubmed.ncbi.nlm.nih.gov/40274236/,novel insights into dietary bioactive compounds and major depressive disorders: evidence from animal studies and future perspectives.
alcohol,risk_factor_for,diabetes mellitus,41377803,2025,https://pubmed.ncbi.nlm.nih.gov/41377803/,the inflammatory index and cytokines are associated with non-alcoholic fatty liver disease in type 2 diabetes mellitus.
alcohol,risk_factor_for,liver disease,41377803,2025,https://pubmed.ncbi.nlm.nih.gov/41377803/,the inflammatory index and cytokines are associated with non-alcoholic fatty liver disease in type 2 diabetes mellitus.
alcohol,risk_factor_for,nafld,41377803,2025,https://pubmed.ncbi.nlm.nih.gov/41377803/,the inflammatory index and cytokines are associated with non-alcoholic fatty liver disease in type 2 diabetes mellitus.
alcohol,risk_factor_for,diabetes,41377803,2025,https://pubmed.ncbi.nlm.nih.gov/41377803/,the inflammatory index and cytokines are associated with non-alcoholic fatty liver disease in type 2 diabetes mellitus.
alcohol,risk_factor_for,type 2 diabetes,41377803,2025,https://pubmed.ncbi.nlm.nih.gov/41377803/,the inflammatory index and cytokines are associated with non-alcoholic fatty liver disease in type 2 diabetes mellitus.
alcohol,risk_factor_for,fatty liver,41377803,2025,https://pubmed.ncbi.nlm.nih.gov/41377803/,the inflammatory index and cytokines are associated with non-alcoholic fatty liver disease in type 2 diabetes mellitus.
alcohol,risk_factor_for,non-alcoholic fatty liver disease,41377803,2025,https://pubmed.ncbi.nlm.nih.gov/41377803/,the inflammatory index and cytokines are associated with non-alcoholic fatty liver disease in type 2 diabetes mellitus.
coffee,risk_factor_for,cardiovascular diseases,40806142,2025,https://pubmed.ncbi.nlm.nih.gov/40806142/,coffee's impact on health and well-being.
coffee,risk_factor_for,anxiety,40806142,2025,https://pubmed.ncbi.nlm.nih.gov/40806142/,coffee's impact on health and well-being.
coffee,risk_factor_for,stroke,40806142,2025,https://pubmed.ncbi.nlm.nih.gov/40806142/,coffee's impact on health and well-being.
coffee,risk_factor_for,diabetes,40806142,2025,https://pubmed.ncbi.nlm.nih.gov/40806142/,coffee's impact on health and well-being.
coffee,risk_factor_for,hypertension,40806142,2025,https://pubmed.ncbi.nlm.nih.gov/40806142/,coffee's impact on health and well-being.
coffee,risk_factor_for,cognitive decline,40806142,2025,https://pubmed.ncbi.nlm.nih.gov/40806142/,coffee's impact on health and well-being.
coffee,risk_factor_for,cardiovascular disease,40806142,2025,https://pubmed.ncbi.nlm.nih.gov/40806142/,coffee's impact on health and well-being.
arachidonic acid,risk_factor_for,bone density,41162285,2025,https://pubmed.ncbi.nlm.nih.gov/41162285/,tbxas1 deficiency causes autoinflammation responsive to il-6 inhibitor.
caffeine,risk_factor_for,obesity,40868898,2025,https://pubmed.ncbi.nlm.nih.gov/40868898/,maternal lifestyle during pregnancy and its influence on offspring's telomere length.
caffeine,risk_factor_for,depression,41072313,2025,https://pubmed.ncbi.nlm.nih.gov/41072313/,from waterways to the brain: unraveling the environmental triggers of depression through ppcps-gene network convergence.
black pepper,risk_factor_for,chronic inflammation,36255261,2023,https://pubmed.ncbi.nlm.nih.gov/36255261/,occupational rhinitis caused by hypersensitivity to black pepper.
black pepper,risk_factor_for,hypersensitivity,36255261,2023,https://pubmed.ncbi.nlm.nih.gov/36255261/,occupational rhinitis caused by hypersensitivity to black pepper.
garlic,risk_factor_for,blood pressure,41202345,2025,https://pubmed.ncbi.nlm.nih.gov/41202345/,potential therapeutic use of indian medicinal plants for preeclampsia management.
arachidonic acid,risk_factor_for,crohn,41382985,2025,https://pubmed.ncbi.nlm.nih.gov/41382985/,chronic enteritis triggered by diet westernization is driven by epithelial atg16l1-mediated autophagy.
arachidonic acid,risk_factor_for,inflammatory bowel disease,41382985,2025,https://pubmed.ncbi.nlm.nih.gov/41382985/,chronic enteritis triggered by diet westernization is driven by epithelial atg16l1-mediated autophagy.
alpha-linolenic acid,risk_factor_for,migraine,39380085,2024,https://pubmed.ncbi.nlm.nih.gov/39380085/,"investigating the effects of co-supplementation with alpha-linolenic acid and l-carnitine on inflammatory status, oxidative stress, clinical symptoms, mental health and quality of life in women with migraine: a protocol for a randomized, triple-blind, placebo-controlled trial."
alpha-linolenic acid,risk_factor_for,migraine disorders,39380085,2024,https://pubmed.ncbi.nlm.nih.gov/39380085/,"investigating the effects of co-supplementation with alpha-linolenic acid and l-carnitine on inflammatory status, oxidative stress, clinical symptoms, mental health and quality of life in women with migraine: a protocol for a randomized, triple-blind, placebo-controlled trial."
alpha-linolenic acid,risk_factor_for,inflammation mediators,39380085,2024,https://pubmed.ncbi.nlm.nih.gov/39380085/,"investigating the effects of co-supplementation with alpha-linolenic acid and l-carnitine on inflammatory status, oxidative stress, clinical symptoms, mental health and quality of life in women with migraine: a protocol for a randomized, triple-blind, placebo-controlled trial."
dextrin,risk_factor_for,obesity,25721052,2015,https://pubmed.ncbi.nlm.nih.gov/25721052/,potential anti-obesogenic properties of non-digestible carbohydrates: specific focus on resistant dextrin.
dextrin,risk_factor_for,anti-obesity agents,25721052,2015,https://pubmed.ncbi.nlm.nih.gov/25721052/,potential anti-obesogenic properties of non-digestible carbohydrates: specific focus on resistant dextrin.
olive oil,risk_factor_for,blood pressure,41305556,2025,https://pubmed.ncbi.nlm.nih.gov/41305556/,the role of diet in women of childbearing age: current evidence supporting nutritional recommendations.
olive oil,risk_factor_for,diabetes,41305556,2025,https://pubmed.ncbi.nlm.nih.gov/41305556/,the role of diet in women of childbearing age: current evidence supporting nutritional recommendations.
carboxymethylcellulose,risk_factor_for,metabolic syndrome,39865067,2025,https://pubmed.ncbi.nlm.nih.gov/39865067/,mucus-penetrating microbiota drive chronic low-grade intestinal inflammation and metabolic dysregulation.
oleic acid,risk_factor_for,obesity,40621713,2025,https://pubmed.ncbi.nlm.nih.gov/40621713/,long-term intake of oleic acid-rich palm oil induces obesity without impairing hypothalamic insulin sensitivity and redox activity in male wistar rats.
oleic acid,risk_factor_for,insulin resistance,40621713,2025,https://pubmed.ncbi.nlm.nih.gov/40621713/,long-term intake of oleic acid-rich palm oil induces obesity without impairing hypothalamic insulin sensitivity and redox activity in male wistar rats.
high fructose corn syrup,risk_factor_for,diabetes mellitus,40922222,2025,https://pubmed.ncbi.nlm.nih.gov/40922222/,the evolutionary relationship between sugar-sweetened beverages and type 2 diabetes mellitus since 1989.
high fructose corn syrup,risk_factor_for,type 2,40922222,2025,https://pubmed.ncbi.nlm.nih.gov/40922222/,the evolutionary relationship between sugar-sweetened beverages and type 2 diabetes mellitus since 1989.
high fructose corn syrup,risk_factor_for,diabetes,40922222,2025,https://pubmed.ncbi.nlm.nih.gov/40922222/,the evolutionary relationship between sugar-sweetened beverages and type 2 diabetes mellitus since 1989.
high fructose corn syrup,risk_factor_for,type 2 diabetes,40922222,2025,https://pubmed.ncbi.nlm.nih.gov/40922222/,the evolutionary relationship between sugar-sweetened beverages and type 2 diabetes mellitus since 1989.
high fructose corn syrup,risk_factor_for,insulin resistance,40922222,2025,https://pubmed.ncbi.nlm.nih.gov/40922222/,the evolutionary relationship between sugar-sweetened beverages and type 2 diabetes mellitus since 1989.
dextrose,risk_factor_for,type 2 diabetes,40257340,2025,https://pubmed.ncbi.nlm.nih.gov/40257340/,ultrasound-guided pudendal nerve dextrose hydrodissection for urinary incontinence: a clinical review and case reports.
dextrose,risk_factor_for,diabetes mellitus,40257340,2025,https://pubmed.ncbi.nlm.nih.gov/40257340/,ultrasound-guided pudendal nerve dextrose hydrodissection for urinary incontinence: a clinical review and case reports.
dextrose,risk_factor_for,diabetes,40257340,2025,https://pubmed.ncbi.nlm.nih.gov/40257340/,ultrasound-guided pudendal nerve dextrose hydrodissection for urinary incontinence: a clinical review and case reports.
berry,risk_factor_for,diabetes mellitus,38142920,2024,https://pubmed.ncbi.nlm.nih.gov/38142920/,"fruit, berry, and vegetable consumption and the risk of islet autoimmunity and type 1 diabetes in children-the type 1 diabetes prediction and prevention birth cohort study."
berry,risk_factor_for,type 1,38142920,2024,https://pubmed.ncbi.nlm.nih.gov/38142920/,"fruit, berry, and vegetable consumption and the risk of islet autoimmunity and type 1 diabetes in children-the type 1 diabetes prediction and prevention birth cohort study."
berry,risk_factor_for,diabetes,38142920,2024,https://pubmed.ncbi.nlm.nih.gov/38142920/,"fruit, berry, and vegetable consumption and the risk of islet autoimmunity and type 1 diabetes in children-the type 1 diabetes prediction and prevention birth cohort study."
corn syrup,risk_factor_for,diabetes mellitus,40922222,2025,https://pubmed.ncbi.nlm.nih.gov/40922222/,the evolutionary relationship between sugar-sweetened beverages and type 2 diabetes mellitus since 1989.
corn syrup,risk_factor_for,type 2,40922222,2025,https://pubmed.ncbi.nlm.nih.gov/40922222/,the evolutionary relationship between sugar-sweetened beverages and type 2 diabetes mellitus since 1989.
corn syrup,risk_factor_for,diabetes,40922222,2025,https://pubmed.ncbi.nlm.nih.gov/40922222/,the evolutionary relationship between sugar-sweetened beverages and type 2 diabetes mellitus since 1989.
corn syrup,risk_factor_for,type 2 diabetes,40922222,2025,https://pubmed.ncbi.nlm.nih.gov/40922222/,the evolutionary relationship between sugar-sweetened beverages and type 2 diabetes mellitus since 1989.
corn syrup,risk_factor_for,insulin resistance,40922222,2025,https://pubmed.ncbi.nlm.nih.gov/40922222/,the evolutionary relationship between sugar-sweetened beverages and type 2 diabetes mellitus since 1989.
high fructose corn syrup,risk_factor_for,type 2 diabetes,28447343,2017,https://pubmed.ncbi.nlm.nih.gov/28447343/,impact of perinatal exposure to sucrose or high fructose corn syrup (hfcs-55) on adiposity and hepatic lipid composition in rat offspring.
high fructose corn syrup,risk_factor_for,obesity,28447343,2017,https://pubmed.ncbi.nlm.nih.gov/28447343/,impact of perinatal exposure to sucrose or high fructose corn syrup (hfcs-55) on adiposity and hepatic lipid composition in rat offspring.
high fructose corn syrup,risk_factor_for,diabetes,28447343,2017,https://pubmed.ncbi.nlm.nih.gov/28447343/,impact of perinatal exposure to sucrose or high fructose corn syrup (hfcs-55) on adiposity and hepatic lipid composition in rat offspring.
high fructose corn syrup,risk_factor_for,obesity,33450094,2021,https://pubmed.ncbi.nlm.nih.gov/33450094/,exposure to high fructose corn syrup during adolescence in the mouse alters hepatic metabolism and the microbiome in a sex-specific manner.
high fructose corn syrup,risk_factor_for,liver disease,33450094,2021,https://pubmed.ncbi.nlm.nih.gov/33450094/,exposure to high fructose corn syrup during adolescence in the mouse alters hepatic metabolism and the microbiome in a sex-specific manner.
high fructose corn syrup,risk_factor_for,diabetes,33450094,2021,https://pubmed.ncbi.nlm.nih.gov/33450094/,exposure to high fructose corn syrup during adolescence in the mouse alters hepatic metabolism and the microbiome in a sex-specific manner.
high fructose corn syrup,risk_factor_for,fatty liver,33450094,2021,https://pubmed.ncbi.nlm.nih.gov/33450094/,exposure to high fructose corn syrup during adolescence in the mouse alters hepatic metabolism and the microbiome in a sex-specific manner.
high fructose corn syrup,risk_factor_for,non-alcoholic fatty liver disease,33450094,2021,https://pubmed.ncbi.nlm.nih.gov/33450094/,exposure to high fructose corn syrup during adolescence in the mouse alters hepatic metabolism and the microbiome in a sex-specific manner.
high fructose corn syrup,risk_factor_for,obesity,34121997,2021,https://pubmed.ncbi.nlm.nih.gov/34121997/,high fructose corn syrup-moderate fat diet potentiates anxio-depressive behavior and alters ventral striatal neuronal signaling.
high fructose corn syrup,risk_factor_for,metabolic syndrome,34121997,2021,https://pubmed.ncbi.nlm.nih.gov/34121997/,high fructose corn syrup-moderate fat diet potentiates anxio-depressive behavior and alters ventral striatal neuronal signaling.
high fructose corn syrup,risk_factor_for,diabetes,34121997,2021,https://pubmed.ncbi.nlm.nih.gov/34121997/,high fructose corn syrup-moderate fat diet potentiates anxio-depressive behavior and alters ventral striatal neuronal signaling.
